CSDUID,CSDNAME,Latitude,Longitude,Type,Price,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population
3501012,Cornwall,45.0319536,-74.7594173,Apartment,1170.0,0.5,1.0,0,1,1,460.0,1,49442
3501012,Cornwall,45.03818,-74.7483747,Apartment,1200.0,2.0,1.0,0,0,0,880.0,1,49442
3501012,Cornwall,45.0123296,-74.7572119,Apartment,1425.0,1.0,1.0,1,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.0123296,-74.7572119,Apartment,1325.0,1.0,1.0,1,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.0201744,-74.7330745,Apartment,1350.0,1.0,1.0,1,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.0170885,-74.7339503,Apartment,1450.0,2.0,1.0,1,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.0312108,-74.7059323,Apartment,1600.0,2.0,1.5,1,1,1,900.0,1,49442
3501012,Cornwall,45.02198,-74.71095,Apartment,1300.0,2.0,1.0,1,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.0177301,-74.7400187,Apartment,1600.0,2.0,1.0,0,0,1,700.0,1,49442
3501012,Cornwall,45.0278397,-74.7337936,Apartment,700.0,0.5,1.0,1,1,1,325.0,2,49442
3501012,Cornwall,45.028596,-74.6967641,Apartment,2250.0,3.0,1.5,0,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.028596,-74.6967641,Apartment,1130.0,0.5,1.0,0,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.028596,-74.6967641,Apartment,1750.0,1.0,1.0,0,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.028596,-74.6967641,Apartment,1950.0,2.0,1.0,0,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.0318917,-74.6962224,Apartment,2300.0,3.0,1.0,1,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.0210046,-74.7274146,Apartment,1200.0,0.5,1.0,0,0,0,693.2284334664314,1,49442
3501012,Cornwall,45.0291457,-74.7054177,Apartment,1655.0,2.0,1.0,0,1,1,785.0,1,49442
3501012,Cornwall,45.0219286,-74.7123481,Apartment,950.0,2.0,1.0,0,0,1,400.0,1,49442
3501012,Cornwall,45.0184452,-74.7140238,Apartment,1250.0,1.0,1.0,1,1,1,800.0,1,49442
3501012,Cornwall,45.0137484,-74.7354197,Apartment,1350.0,1.0,1.0,0,0,1,500.0,1,49442
3501012,Cornwall,45.0290106,-74.7107016,Basement,925.0,1.0,1.0,1,1,1,400.0,2,49442
3501012,Cornwall,45.050429,-74.737354,Duplex/Triplex,1550.0,2.0,1.0,0,0,1,850.0,1,49442
3501012,Cornwall,45.050429,-74.737354,Duplex/Triplex,2100.0,3.0,2.0,0,0,1,693.2284334664314,1,49442
3501012,Cornwall,45.0203131,-74.7027125,Condo,1850.0,2.0,1.0,0,0,0,900.0,1,49442
3501012,Cornwall,45.0217738,-74.7084882,Duplex/Triplex,1500.0,2.0,1.0,0,0,1,750.0,1,49442
3501012,Cornwall,45.0219912,-74.6948141,Duplex/Triplex,1400.0,2.5,1.0,0,0,1,500.0,1,49442
3501012,Cornwall,45.0176846,-74.7336755,Duplex/Triplex,1700.0,2.0,1.0,0,0,1,800.0,1,49442
3501012,Cornwall,45.0290106,-74.7107016,Condo,2300.0,2.0,1.0,0,0,0,693.2284334664314,1,49442
3501012,Cornwall,45.0152299,-74.7649723,House,2600.0,4.0,2.0,0,0,1,693.2284334664314,2,49442
3501012,Cornwall,45.0279009,-74.7386135,House,1700.0,3.0,1.0,0,0,1,693.2284334664314,1,49442
3501012,Cornwall,45.01797,-74.7421872,House,2200.0,3.0,1.0,0,0,0,800.0,1,49442
3501012,Cornwall,45.0401328,-74.7517589,House,2000.0,3.0,2.0,0,0,1,693.2284334664314,1,49442
3501012,Cornwall,45.0446965,-74.7302234,House,3200.0,3.0,2.0,1,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.0281161,-74.7443444,House,2195.0,3.0,2.0,0,0,1,693.2284334664314,1,49442
3501012,Cornwall,45.0334732,-74.7082731,House,2600.0,2.0,3.0,0,0,0,693.2284334664314,1,49442
3501012,Cornwall,45.0192984,-74.721471,House,1600.0,2.0,1.5,0,0,1,900.0,1,49442
3501012,Cornwall,45.0261462,-74.6875813,House,1150.0,4.0,1.0,1,1,1,693.2284334664314,1,49442
3501012,Cornwall,45.0217848,-74.7129324,House,2100.0,3.0,2.0,0,0,0,693.2284334664314,1,49442
3501012,Cornwall,45.036524,-74.7269475,House,2200.0,3.0,2.0,0,0,1,693.2284334664314,1,49442
3501012,Cornwall,45.0251986,-74.7202712,House,2400.0,3.0,2.0,0,0,0,693.2284334664314,1,49442
3501012,Cornwall,45.0446166,-74.743541,House,2300.0,2.5,2.0,0,0,0,693.2284334664314,1,49442
3501012,Cornwall,45.0226232,-74.7201601,House,2300.0,3.0,1.0,0,0,1,693.2284334664314,2,49442
3501012,Cornwall,45.0541762,-74.7661501,House,1740.0,3.0,1.0,0,0,1,693.2284334664314,1,49442
3501012,Cornwall,45.0290106,-74.7107016,House,2600.0,4.0,2.0,0,0,0,693.2284334664314,1,49442
3501012,Cornwall,45.0466966,-74.7452244,House,2350.0,3.0,2.0,0,0,1,693.2284334664314,1,49442
3501012,Cornwall,45.026129,-74.6943839,House,2500.0,3.0,1.5,0,0,0,693.2284334664314,1,49442
3501012,Cornwall,45.0151388,-74.7337001,Townhouse,2160.0,3.5,1.0,0,0,1,693.2284334664314,1,49442
3501020,South Dundas,44.950217,-75.2833376,House,2200.0,1.0,1.0,0,0,0,693.2284334664314,1,11218
3501020,South Dundas,44.9453534,-75.1870273,Townhouse,1295.0,3.0,1.0,0,0,0,900.0,1,11218
3501030,North Dundas,45.1009288,-75.2402462,Apartment,1400.0,2.0,1.0,0,0,0,730.0,1,12332
3501030,North Dundas,45.0950113,-75.2369148,House,2000.0,3.0,1.5,0,0,1,693.2284334664314,1,12332
3501030,North Dundas,45.093,-75.3537688,Apartment,1400.0,2.0,1.0,0,0,0,693.2284334664314,1,12332
3501030,North Dundas,45.0869777,-75.3716338,Apartment,1425.0,1.0,1.0,0,1,1,650.0,1,12332
3501030,North Dundas,45.1035256,-75.22892,Apartment,1450.0,1.0,1.0,0,0,0,600.0,1,12332
3501030,North Dundas,45.1299843,-75.3590755,Apartment,2000.0,3.0,1.0,0,1,1,693.2284334664314,1,12332
